name,price,sex,height,color,location,markings,weight,foaldate,registrations,disciplines,temperament
Captain,5000,Gelding,14.212,Dun,"Nantucket, Massachusetts",,,4-May,Norwegian Fjord Horse Registry (04-6018-G),Beginner/Family  Cowboy Mounted Shooting  Trail Horse  English Pleasure  Western Pleasure ,1.005
Eternal Goodness,8500,Gelding,16.205,Chestnut,"Brooklyn, Connecticut",,,3-May,JC - Jockey Club (),Jumper (Competed or Shown) Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown) Equitation (Prospect),1.01
Dustys Fly Boy,15000,Gelding,15.192,Grulla,"Dallas, Texas",,1200 pounds,6-Apr,AQHA - American Quarter Horse Association (4847087),Beginner/Family (Champion) Youth/4-H Horse (Champion) Reining (Trained) Competitive Trail Competitions (Trained) Trail Horse (Champion),1.012
A FEDERAL HOLIDAY,8500,Mare,14.999,Grey,"HOLSTEIN, Iowa","star, strip, & snip. 3 white socks.",,5-Apr,AQHA - American Quarter Horse Association (),Western Pleasure (Show) (Competed or Shown) Youth/4-H Horse (Prospect) Horsemanship (Prospect) Trail Horse (Prospect) English Pleasure (Prospect),1.013
WIMPYS TRADITIONSTEP,15000,Gelding,14.999,Palomino,"HOWELL, Michigan",,1000 pounds,9-Apr,AQHA - American Quarter Horse Association (5265564),Youth/4-H Horse (Trained) Ranch Horse (Trained) Reined Cow Horse (Trained) Working Cow Horse (Trained) Reining (Trained),1.013
Maximus,2000,Gelding,15.206,Palomino,"Weogufka, Alabama",,,7-Jan,,Gaited (Trained) Lesson Horse (Trained) Beginner/Family (Trained) Trail Horse (Trained),1.014
Times Are Hot,7500,Mare,15.284,Bay,"Barneveld, Wisconsin",,,9-Apr,,Western Pleasure (Prospect) Equitation (Prospect) Hunter Under Saddle (Prospect) Western Riding (Prospect),1.014
C Ya Later Allocator,9000,Mare,15.186,Sorrel,"Camp Springs, Kentucky",White star and snip,1100 pounds,7-Jan,AQHA - American Quarter Horse Association (),Hunter (Competed or Shown) Equitation (Trained) Lesson Horse (Trained) Beginner/Family (Trained) Hunter Under Saddle (Trained),1.019
Ellie,1500,Mare,15.2,Bay,"Stoughton, Wisconsin","Dark bay with dapples, freeze brand on R hip",1500 pounds,May-99,,Beginner/Family (Trained) Brood Mare (Rank Not Applicable) Draft (Competed or Shown) Trail Horse (Rank Not Applicable) Driving (Prospect),1.02
ONYX,6500,Gelding,15.287,Black,"Buxton, Maine",Solid Black,,11-Apr,,Beginner/Family  Dressage  Driving  Trail Horse  Pleasure Driving ,1.026
savannah,750,Mare,14.005,Black,"stockton, California",,,Feb-00,,Beginner/Family (Trained),1.027
Elouise GS,5000,Mare,16.115,Chestnut,"Markham, Ontario, Canada",,,1-Sep,ATA - American Trakehner Association (),Jumper  Hunter  Eventing  Dressage  Brood Mare ,1.034
Bo,1000,Gelding,13.983,Buckskin,"paris, Tennessee",buckskin,1200 pounds,Jan-00,,,1.036
High Dollar Gamble,6500,Gelding,14.3,Bay,"Dallas, Texas",,1100 pounds,1-Apr,AQHA - American Quarter Horse Association (4171366 ),Cutting (Trained) Team Sorting (Trained) Trail Horse (Trained) Youth/4-H Horse (Trained) Beginner/Family (Trained),1.036
A-Millionaire FD,500,Stallion,16.014,Bay,"Woodstown, New Jersey",,,5-May,KWPN - Dutch Warmblood Studbook in North America (),Jumper ,1.042
Bandolay,10000,Mare,16.188,Chestnut,"Queen Anne, Maryland","3 Stockings, Blaze",,13-Mar,RPSI - Rheinland Pfalz-Saar International () USEF - United States Equestrian Federation (),Dressage (Prospect) Hunter (Prospect),1.053
FERN,12000,Mare,15.213,Pinto,"Buxton, Maine",,,12-May,,Jumper  Hunter  Driving  Dressage  Beginner/Family ,1.055
Awesome,1500,Mare,15.315,Chestnut,"Sanford, Florida",Coronet/Sock,,Jan-98,JC - Jockey Club (342184),Western Riding (Trained) Breeding (Rank Not Applicable) Dressage (Trained) Racing (Champion) Hunter (Competed or Shown),1.056
,750,Gelding,16.292,Bay,"Axton, Virginia","Blaze, sock",,May-98,,Dressage (Competed or Shown) Beginner/Family (Trained) Lesson Horse (Trained) Trail Horse (Trained),1.067
Henry,600,Gelding,13.094,Pinto,"pt orange, Florida",,,10-Aug,,,1.069
Flanders,12000,Gelding,16.304,Chestnut,"Elora, Ontario, Canada",white sock and stripe,1500 pounds,3-Jun,,Dressage (Trained) Hunter (Competed or Shown),1.082
