"","age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
"41492",24,"average",NA,"socially",NA,"working on two-year college","hispanic / latin",70.9,NA,"student",2012-05-09 23:40:00,"san bruno, california",NA,"straight","likes dogs and likes cats","other but not too serious about it","m","libra but it doesn't matter","no","english (fluently), spanish (okay)","single","i'm fun to hang out with, love trying new things and ready for anything. i love having fun and making people laugh, it really makes me happy"
"14679",31,"athletic","mostly anything","socially","never","graduated from masters program","black",76.08,NA,"entertainment / media",2012-06-29 21:35:00,"san francisco, california","doesn't have kids, but might want them","straight","has dogs and likes cats","agnosticism and laughing about it","m","gemini but it doesn't matter","no","english (fluently)","single","i grew up in germany and loved every minute of it. moved to the mid-west soon after (yes i'm a kansas boy at heart). after college i wanted "
"22511",30,"athletic","anything","socially","never","graduated from college/university","white",71.2,NA,"banking / financial / real estate",2012-06-30 08:38:00,"san francisco, california","doesn't have kids","straight",NA,"judaism and laughing about it","m",NA,"no","english","single","i just moved san francisco for work and would like to meet a nice girl to show me around the city. i lead a low key life during the week, mo"
"5553",36,"a little extra","mostly anything","rarely","never","working on college/university","white",69.99,NA,"other",2012-06-29 23:08:00,"san mateo, california","doesn't have kids, but wants them","straight","likes dogs and has cats",NA,"m","taurus and it's fun to think about","no","english","single","i am a bay area native, having lived here my entire life. i have never had any reason to move, though there are places that i would consider"
"57624",33,"average","vegan","socially",NA,NA,"hispanic / latin, white",69.17,20000,"entertainment / media",2012-06-27 09:23:00,"oakland, california","has a kid","straight","likes dogs","atheism and very serious about it","m","virgo and it's fun to think about","no","english (okay), spanish (poorly)","single","i'm generally a pretty laid back person when it comes to most things , i really feel like there is not enough time in life to sweat small st"
"677",21,"athletic",NA,"socially",NA,"working on college/university","white",70.17,NA,"artistic / musical / writer",2012-06-29 13:16:00,"san mateo, california",NA,"straight",NA,"agnosticism and laughing about it","m",NA,"no","english (fluently), swedish (poorly)","single","i am a student right now. an english and communications major at santa clara university. i have an apartment off campus and go out with my f"
"33713",29,"average","mostly anything","socially",NA,"graduated from college/university","asian",66.83,NA,"executive / management",2012-04-27 18:08:00,"emeryville, california",NA,"straight",NA,NA,"m","scorpio but it doesn't matter",NA,"english (fluently)","single","i'm a weird mix of a hip hop/rnb kid at heart that now works in the professional world. blazer on the weekadays, baseball caps on the weeken"
"44475",28,NA,NA,"often","never","graduated from college/university",NA,70.07,NA,NA,2012-05-11 00:53:00,"menlo park, california",NA,"straight",NA,"agnosticism but not too serious about it","m",NA,"no","english","single",NA
"51300",29,"thin","anything","socially","sometimes","dropped out of college/university","white",69.02,100000,"science / tech / engineering",2012-07-01 00:57:00,"redwood city, california",NA,"straight","likes dogs and has cats","agnosticism and somewhat serious about it","m","taurus","yes","english (fluently)","single","geeky and funny, in a jew-y kinda way."
"2341",27,"athletic",NA,"socially","never",NA,"white",72.18,250000,"banking / financial / real estate",2012-06-22 10:03:00,"san francisco, california","doesn't want kids","straight",NA,NA,"m","aries","no","english, russian","single","you being in my target demographic, i have a short time to capture your interest or i lose my sale!    so let me tell you about myself quick"
"38877",26,"athletic","mostly anything","rarely","never","graduated from college/university","white",73.09,100000,"executive / management",2011-12-19 22:52:00,"san francisco, california",NA,"straight",NA,"catholicism but not too serious about it","m","virgo but it doesn't matter","no","english (fluently), swahili (poorly)","single",NA
"51725",21,"average","anything","socially",NA,"working on college/university","asian",71.18,NA,"student",2012-05-14 00:39:00,"berkeley, california",NA,"straight","likes dogs and likes cats","atheism but not too serious about it","m","aquarius but it doesn't matter",NA,"english","single","so i'm a college student in my early 20's, born in california to korean parents who gave me an austro-german first name and sent me to a can"
"52471",38,"a little extra","strictly anything","socially",NA,"graduated from college/university","white",64.14,150000,"computer / hardware / software",2012-06-30 23:47:00,"berkeley, california","might want kids","straight","likes dogs and likes cats","agnosticism but not too serious about it","m","aries but it doesn't matter","no","english (fluently), c++ (fluently), lisp (okay)","single","i think owls are amazing ^v^    i think we place arbitrary restrictions on our behaviour that stop us from experiencing the life we could.  "
"33190",36,"fit",NA,"socially",NA,"graduated from college/university","asian",65.13,150000,"science / tech / engineering",2011-10-25 18:44:00,"san francisco, california",NA,"straight",NA,"other but not too serious about it","m","scorpio but it doesn't matter","no","english (fluently), japanese (poorly), chinese (poorly), c++ (poorly)","single","i'm an accidental nomad. i left australia through work - but travel was my sister's dream, never mine.    hi there! i live and work in this "
"34885",23,"average","mostly halal","desperately","sometimes","graduated from space camp","asian",70.06,1000000,"hospitality / travel",2012-06-25 14:33:00,"berkeley, california","doesn't want kids","bisexual","has dogs and likes cats","other and very serious about it","m","cancer and it's fun to think about","when drinking","english (poorly), chinese (poorly), irish (poorly), vietnamese (poorly), breton (fluently)","single","like coffee: tall, dark, strong, fair(ly) trade(d), 7 weeks old and a kick in the face.    winning at life."
"20947",26,"athletic","strictly anything","socially",NA,"graduated from college/university","asian",67.8,NA,"medicine / health",2012-06-29 18:19:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"m","leo but it doesn't matter","no","english (fluently), spanish (poorly), korean (okay)","single","feel free to ask. i don't bite, well, most of the time."
"20568",41,"athletic","mostly vegetarian",NA,NA,"working on masters program",NA,72.11,NA,"entertainment / media",2012-06-29 16:53:00,"san francisco, california",NA,"straight",NA,NA,"m","aries and it's fun to think about",NA,"english (fluently), portuguese (poorly)","single","i'm a passionate lover of life and of the unknown. i enjoy freedoms of playful spontinaity, loving high-conscious communities, and soulful e"
"34744",32,"fit","strictly anything","socially","never","working on college/university","black",69.12,80000,"artistic / musical / writer",2012-04-10 19:02:00,"vallejo, california","has kids, and wants more","straight","has dogs","christianity and very serious about it","m","cancer and it's fun to think about","yes","english","single","artist who has no time for a women with drama!"
"50749",26,"average","mostly anything","socially",NA,"working on college/university","white",67.14,NA,"computer / hardware / software",2012-06-30 23:15:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and likes cats",NA,"m","pisces but it doesn't matter","no","english (fluently), spanish (poorly), sign language (poorly), c++ (okay), other (fluently)","single","i consider myself a man of honesty and integrity who values his family and traditions (new and old). i'm an entrepreneur, uncle, computer ge"
"39846",48,"average",NA,"not at all","never","graduated from masters program","indian",65.84,NA,"executive / management",2011-12-11 19:07:00,"san francisco, california",NA,"straight","has dogs and likes cats","hinduism but not too serious about it","m","taurus and it's fun to think about","sometimes","english (poorly), hindi (fluently)","single","i live in san francisco, and completely a transformed, and crazy indian. i am a builder and architect of bringing my own ideas to reality, v"
"8190",26,"athletic","strictly anything","socially","never","graduated from college/university","asian, middle eastern, indian, hispanic / latin, white, other",70.13,100000,"science / tech / engineering",2012-06-29 19:29:00,"oakland, california","doesn't want kids","straight","dislikes dogs and likes cats","atheism and somewhat serious about it","m","sagittarius but it doesn't matter","no","english (fluently), french (okay), lisp (okay), other (fluently)","single","avid dancer. passionate about life. intellectually inclined. easy-going. a native san franciscan, i truly enjoy exploring the bay area, atte"
"31980",33,"average","mostly anything","socially","never","graduated from college/university","pacific islander",64.9,NA,"medicine / health",2012-04-23 20:19:00,"san francisco, california",NA,"gay","likes dogs","catholicism but not too serious about it","m","libra and it's fun to think about","no","english (fluently), spanish (okay)","single","bay area native born and raised. ucla alumni. spend most of my free time with friends and family. love going to dinners and/or concerts. hug"
"39665",34,"fit","anything","socially","never",NA,"asian, pacific islander",66.01,NA,"sales / marketing / biz dev",2012-06-29 10:28:00,"san francisco, california","doesn't have kids","straight",NA,"christianity","m","cancer but it doesn't matter","no","english (fluently), indonesian (fluently)","single","i try to improve my self everday. love to laugh, love to make people laugh. cheerful and loyal. i'm pretty old fashion kind of guy, so i rea"
"30829",31,"fit","mostly anything","rarely","never","graduated from college/university","asian, white",71.94,NA,"computer / hardware / software",2012-06-30 16:18:00,"alameda, california","doesn't have kids","straight","likes dogs and dislikes cats","catholicism but not too serious about it","m","libra but it doesn't matter","no","english (fluently), spanish (poorly)","single","i was an army brat so i spent most of my youth traveling from one country to the next, but settled in the pacific northwest... go huskies!!"
"5304",50,"athletic","mostly anything","socially","never","graduated from two-year college","white",73.06,50000,"other",2012-01-02 13:10:00,"south san francisco, california","has kids","straight","has dogs and likes cats","agnosticism but not too serious about it","m","gemini but it doesn't matter","no","english (fluently), german (fluently)","single","balanced man searching for same in woman. i care deeply about my actions and how they affect my loved ones myself and the planet. seeking my"
"36463",23,"average",NA,"socially","never",NA,"asian, native american, white",70.09,NA,NA,2012-06-30 06:43:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"m",NA,"sometimes","english","single","i am musician that moved here a few months ago from pennsylvania. i am a shift supervisor for starbucks. love bikes, books, and music."
