"","age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
"52881",31,"average","strictly vegetarian","socially","never","graduated from masters program","indian",57.89,70000,"medicine / health",2012-07-01 01:03:00,"san mateo, california","doesn't have kids","straight",NA,"hinduism and somewhat serious about it","f","capricorn but it doesn't matter","no","english","single","happy is the word to describe me and i always have a smile on my face. i love to cook and bake, and throw dinner parties or game nights. i e"
"12440",22,"average","mostly anything","often","never","working on college/university","white",67.83,NA,"student",2012-06-30 08:26:00,"san francisco, california",NA,"straight","likes dogs and has cats","atheism and laughing about it","f","aries but it doesn't matter","sometimes","english, french (okay)","single","always smiling and a little sarcastic. favorite place is the front row of a concert. dream job would be working on the next planet earth. i "
"9387",32,"fit","mostly anything","socially",NA,"working on two-year college","other",66.88,NA,"other",2012-06-29 17:32:00,"oakland, california",NA,"straight","likes dogs and has cats",NA,"f","aries and it's fun to think about","when drinking","english","single","lover of the art world, singer song writer and self pro-claimed ninja here to innovate and keep what is real and nourishing alive. i work, p"
"46816",32,"a little extra",NA,"socially",NA,"working on college/university",NA,67.1,NA,"student",2012-06-22 18:30:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats","agnosticism","f","aquarius but it doesn't matter","no","english, russian","single","independent and content with who i am, and where i am. i love people and life, try to see good in any person or situation, and put my heart "
"28067",29,"fit","anything","not at all","never","graduated from masters program","white",68.14,NA,"executive / management",2012-06-27 02:07:00,"san francisco, california","doesn't have kids","straight","has dogs and likes cats",NA,"f","aquarius","no","english (fluently), russian (fluently), french (poorly), maori (poorly)","single","i live in moscow, russia but now i'm visiting the friends of mine in sf.  i like theater, literature, cycle, movies and my job.  traveling i"
"56627",19,"average","mostly anything","socially","never","graduated from space camp","white",66.84,NA,"artistic / musical / writer",2012-06-26 18:07:00,"palo alto, california","doesn't have kids, and doesn't want any","straight","likes dogs and likes cats","agnosticism and laughing about it","f","aquarius","no","english (fluently)","single","film maker, photographer, indigo, weirdo. i smile a lot."
"50856",26,"thin","mostly anything","socially","never","graduated from masters program","white",70.13,NA,"medicine / health",2012-06-28 08:33:00,"san francisco, california",NA,"straight",NA,NA,"f",NA,"no","english (fluently), french (fluently)","single","i am, consistently, a very happy person. i've always been athletic, a marathon runner at times (especially when it's in a cool city worth tr"
"43810",45,"fit","mostly vegetarian","socially","sometimes","graduated from masters program","white",62.82,60000,"entertainment / media",2012-04-17 08:19:00,"san rafael, california","doesn't want kids","straight","likes dogs and has cats","judaism but not too serious about it","f","scorpio and it's fun to think about","no","english, spanish (poorly), french (okay)","single","i do what i love, i love what i do, and i try not to waste too much time on tedious tasks or pessimistic people. i appreciate a partner with"
"16669",28,"a little extra","mostly vegan","socially",NA,NA,"asian, hispanic / latin",59.19,NA,NA,2011-07-05 21:08:00,"san francisco, california",NA,"straight","likes dogs and likes cats","buddhism","f","sagittarius and it's fun to think about","no","english (fluently), spanish (fluently), chinese (fluently), french (poorly), german (poorly)","single","i'm multi-cultural, asian background but my parents moved to the caribbean to open restaurants so i was raised in latin america. i've been i"
"38888",49,"average",NA,"socially","never","graduated from masters program","native american, white",62.85,NA,"banking / financial / real estate",2012-06-07 19:15:00,"san francisco, california","has a kid","straight",NA,"catholicism but not too serious about it","f","capricorn and it's fun to think about","no","english","single","a girlfriend of mine introduced me to this site, and in fact helped me put this profile together, even choosing my username and password. bu"
"6026",24,NA,NA,NA,NA,NA,NA,65,NA,NA,2012-06-27 09:53:00,"san francisco, california",NA,"straight",NA,NA,"f","taurus",NA,"english","single",NA
"39651",26,"curvy","anything","socially","never","working on two-year college","asian, pacific islander",61.15,NA,"clerical / administrative",2012-06-21 09:22:00,"san francisco, california","has a kid","straight",NA,"catholicism","f","cancer","when drinking","english","single","full time job and full time mommy. my life pretty much revolves around my daughter and my family. still on the path to self discovery and wh"
"158",29,"average","vegetarian","socially","never","graduated from law school","white",67.84,NA,"law / legal services",2012-05-30 22:59:00,"san francisco, california",NA,"straight","likes dogs","agnosticism and somewhat serious about it","f","leo but it doesn't matter","no","english, spanish (fluently)","single","i grew up on the east coast and moved to the bay area for grad school. before california, i lived in south america for three years teaching "
"56577",29,"skinny","anything","rarely","never",NA,"asian",62.2,NA,NA,2012-06-30 00:06:00,"hayward, california",NA,"straight",NA,NA,"f",NA,"no","english","single","i'm mostly a homebody but don't mind going out if i feel like it or if invited by friends.    04-17-2012  i twisted my ankle over a week ago"
"34690",59,"a little extra",NA,"not at all",NA,"graduated from space camp","white",64.92,NA,"other",2012-05-18 17:42:00,"el sobrante, california","has kids","straight","has dogs and has cats","atheism","f",NA,"no","english (fluently)","single","i'm a widow with two boys, 21 and 14. i've been widowed for 18 years--- i know, it doesn't quite add up. i'll tell you about it one of these"
"33172",22,"thin","mostly anything","socially",NA,"graduated from college/university","asian",62.91,NA,"medicine / health",2012-06-30 18:44:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"f","scorpio and it's fun to think about","no","english (fluently), tagalog (okay), spanish (okay)","single","all i'm looking for is something fun, comfortable and not complicated. :]"
"4556",27,"full figured",NA,"socially","never","graduated from ph.d program","white",65.99,NA,"medicine / health",2012-06-29 20:17:00,"san francisco, california",NA,"gay",NA,NA,"f","cancer","no","english","single",NA
"2583",33,NA,NA,"socially",NA,"graduated from masters program","asian",60.89,NA,"sales / marketing / biz dev",2012-06-29 23:08:00,"san francisco, california",NA,"straight",NA,NA,"f","scorpio","no","english (fluently), chinese (fluently)","single",NA
"42144",26,"curvy",NA,"socially","sometimes","graduated from college/university","white",70.13,NA,"science / tech / engineering",2012-06-23 12:47:00,"berkeley, california",NA,"bisexual",NA,"agnosticism","f","capricorn and it's fun to think about",NA,"english (fluently), spanish (okay)","single","oh hey. i'm jess. tis my first go-round with a site like this... not sure what to expect. but hey, i am all about meeting new people.    as "
"2148",46,"curvy","mostly anything","socially","never","graduated from college/university","asian",57.92,NA,"artistic / musical / writer",2012-06-29 18:52:00,"daly city, california",NA,"straight","has cats","other","f","gemini and it's fun to think about","no","english (fluently), chinese (fluently)","single","*****please note that i am a moderator on okc so i visit both man and woman profiles as part of my duty, just because i visited your profile"
"26837",31,"average","anything","socially","never","masters program","white",65.91,NA,"education / academia",2012-06-30 10:12:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"f","aquarius","no","english","single","california native but bay area transplant for the last twelve years. i love living in the city and like to think of myself as cosmopolitan, "
"10787",38,NA,NA,"socially","never","graduated from college/university","white",66.15,NA,"banking / financial / real estate",2012-06-27 23:33:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats",NA,"f","scorpio but it doesn't matter","no","english","single","coming soon..."
