"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"686","Always Bar Time",18500,"Gelding","16.1 hands","Brown","Arthur, Ontario, Canada","","1100 pounds","Mar-04","AQHA - American Quarter Horse Association (4536746)","Hunter Under Saddle (Champion) Equitation (Champion) Horsemanship (Champion) Western Pleasure (Show) (Competed or Shown) Hunter (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2771185.html"
"8085","Sonny",1000,"Gelding","14.2 hands","Bay","Carbondale, Kansas","","","Jan-01","","Youth/4-H Horse (Prospect) Trail Horse (Trained) Lesson Horse (Prospect) Eventing (Prospect) Beginner/Family (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2816080.html"
"9318","Norman",5800,"Gelding","15.2 hands","Sorrel","Hale, Michigan","3 white socks and a blaze","","Apr-05","AQHA - American Quarter Horse Association (4916759)","Halter (Competed or Shown) Horsemanship (Competed or Shown) Western Pleasure (Show) (Competed or Shown) Trail Horse (Competed or Shown) Equitation (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2666499.html"
"2663","Twist Kitty Chex",2000,"Mare","","Palomino","Bloomfield, Nebraska","","600 pounds","May-12","AQHA - American Quarter Horse Association (5493789)","Cutting (Prospect) Ranch Sorting (Prospect) Reined Cow Horse (Prospect) Reining (Prospect) Working Cow Horse (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2775773.html"
"1674","Drews Approval",6500,"Gelding","16.2 hands","Palomino","Oglesby, Texas","","1100 pounds","Apr-00","ApHC - Appaloosa Horse Club (617728)","Showmanship (Competed or Shown) Youth/4-H Horse (Competed or Shown) Hunter Under Saddle (Competed or Shown) Trail Horse (Competed or Shown) Jumper (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2840853.html"
"335","La Reina",12000,"Mare","","Grey","winchester, Kentucky","","","May-11","IALHA - International Andalusian & Lusitano Horse Association (pending)","Brood Mare (Prospect) Dressage (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2786869.html"
"1767","HEZ EMERALD GREEN",25000,"Gelding","16.2 hands","Bay","reading, Pennsylvania","star, coronet","1200 pounds","Jun-07","AQHA - American Quarter Horse Association ()","Hunter (Champion) Hunter Under Saddle (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2838291.html"
"6340","Star",15000,"Mare","15.3 hands","Black","St. Pauls, North Carolina","star","1300 pounds","Jul-05","FHANA - Friesian Horse Association of North America ()","Brood Mare  Driving  Trail Horse  Beginner/Family ",1,"http://www.equine.com/horses-for-sale/horse-ad-2849760.html"
"227","Bjorn VI",9500,"Gelding","14.1 hands","Dun","Cabot, Arkansas","","1100 pounds","Apr-00","Norwegian Fjord Horse Registry ()","Dressage (Competed or Shown) Eventing (Competed or Shown) English Pleasure (Competed or Shown) Field Hunter (Competed or Shown) Hunter (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2824886.html"
"3879","Answer's Baby Grey",4000,"Gelding","15.3 hands","Grey","Brocton , Illinois","Flea-Bitten","","Jan-04","AQHA - American Quarter Horse Association ()","Western Riding (Trained) Eventing (Competed or Shown) English Pleasure (Champion) Hunter (Competed or Shown) Youth/4-H Horse (Champion)",3,"http://www.equine.com/horses-for-sale/horse-ad-2371934.html"
